ckpt,alpha,w_i,w_j,d_sg,d_grid_avg,d_sum_alpha
1,0.3,0,0,5.605705261230469,-12.280069548774648,-31.389029294252396
1,0.5,1,1,5.605705261230469,-12.280069548774648,-31.740625619888306
1,0.7,2,4,5.605705261230469,-12.280069548774648,-19.3803768157959
4,0.3,0,4,69322.53185844421,67812.54398189219,56878.47096681595
4,0.5,1,8,69322.53185844421,67812.54398189219,55369.24445390701
4,0.7,0,7,69322.53185844421,67812.54398189219,55654.76581287384
10,0.3,0,5,21265.899574279785,20930.423579908263,19445.093280792236
10,0.5,0,6,21265.899574279785,20930.423579908263,17278.141750335693
10,0.7,0,7,21265.899574279785,20930.423579908263,18351.924724578857
15,0.3,0,5,23039.50576019287,23090.379186507475,20969.714862823486
15,0.5,0,6,23039.50576019287,23090.379186507475,19982.655616760254
15,0.7,0,7,23039.50576019287,23090.379186507475,19505.16921234131
20,0.3,0,4,20612.985389709473,21120.342283691876,21244.051301956177
20,0.5,0,6,20612.985389709473,21120.342283691876,18158.48218536377
20,0.7,0,7,20612.985389709473,21120.342283691876,17429.177558898926
30,0.3,0,5,55412.42483520508,54483.734924849676,67219.3662776947
30,0.5,0,6,55412.42483520508,54483.734924849676,45257.5960817337
30,0.7,0,7,55412.42483520508,54483.734924849676,42705.579728126526
40,0.3,0,5,78900.64290618896,77043.064212317,69459.05024087429
40,0.5,0,6,78900.64290618896,77043.064212317,65001.23827752471
40,0.7,0,8,78900.64290618896,77043.064212317,58187.85997915268
50,0.3,1,7,6416.529083251953,6905.144125080955,6419.864392280579
50,0.5,0,8,6416.529083251953,6905.144125080955,8738.507109642029
50,0.7,1,8,6416.529083251953,6905.144125080955,6299.342792510986
60,0.3,1,7,8433.452209472656,9231.07083013748,7204.540681362152
60,0.5,0,8,8433.452209472656,9231.07083013748,6361.839446544647
60,0.7,1,8,8433.452209472656,9231.07083013748,8777.085176467896
70,0.3,1,7,7465.220916748047,8588.07660640905,5251.499119758606
70,0.5,0,8,7465.220916748047,8588.07660640905,6144.609987258911
70,0.7,1,8,7465.220916748047,8588.07660640905,7331.1222858428955
80,0.3,0,4,4.20038628578186,344.9399431456386,2.8840789794921875
80,0.5,0,6,4.20038628578186,344.9399431456386,4.626772403717041
80,0.7,0,7,4.20038628578186,344.9399431456386,5.806075811386108
90,0.3,0,3,-3.2772321701049805,57.928594630441545,-6.699179112911224
90,0.5,0,7,-3.2772321701049805,57.928594630441545,-4.739265084266663
90,0.7,0,8,-3.2772321701049805,57.928594630441545,-0.36719655990600586
100,0.3,0,3,0.1699371337890625,-22.820879621316255,6.91071093082428
100,0.5,0,3,0.1699371337890625,-22.820879621316255,6.91071093082428
100,0.7,0,8,0.1699371337890625,-22.820879621316255,-0.003092527389526367
