ckpt,alpha,w_i,w_j,d_sg,d_grid_avg,d_sum_alpha
1,0.3,0,0,5.605705261230469,-12.280069548774648,-31.389029294252396
1,0.5,1,1,5.605705261230469,-12.280069548774648,-31.740625619888306
1,0.7,2,4,5.605705261230469,-12.280069548774648,-19.3803768157959
2,0.3,0,4,1618.0661754608154,1623.7618377431997,1323.2469425201416
2,0.5,1,8,1618.0661754608154,1623.7618377431997,1304.5105953216553
2,0.7,0,7,1618.0661754608154,1623.7618377431997,1231.369031906128
4,0.3,0,4,69322.53185844421,67812.54398189219,56878.47096681595
4,0.5,1,8,69322.53185844421,67812.54398189219,55369.24445390701
4,0.7,0,7,69322.53185844421,67812.54398189219,55654.76581287384
10,0.3,0,5,21265.899574279785,20930.423579908263,19445.093280792236
10,0.5,0,6,21265.899574279785,20930.423579908263,17278.141750335693
10,0.7,0,7,21265.899574279785,20930.423579908263,18351.924724578857
15,0.3,0,5,23039.50576019287,23090.379186507475,20969.714862823486
15,0.5,0,6,23039.50576019287,23090.379186507475,19982.655616760254
15,0.7,0,7,23039.50576019287,23090.379186507475,19505.16921234131
20,0.3,0,4,20612.985389709473,21120.342283691876,21244.051301956177
20,0.5,0,6,20612.985389709473,21120.342283691876,18158.48218536377
20,0.7,0,7,20612.985389709473,21120.342283691876,17429.177558898926
30,0.3,0,5,55412.42483520508,54483.734924849676,67219.3662776947
30,0.5,0,6,55412.42483520508,54483.734924849676,45257.5960817337
30,0.7,0,7,55412.42483520508,54483.734924849676,42705.579728126526
40,0.3,0,5,78900.64290618896,77043.064212317,69459.05024087429
40,0.5,0,6,78900.64290618896,77043.064212317,65001.23827752471
40,0.7,0,8,78900.64290618896,77043.064212317,58187.85997915268
