ckpt,alpha,w_i,w_j,d_sg,d_grid_avg,d_sum_alpha
42,0.3,0,5,95492.54940032959,93275.94514602727,77854.38495826721
42,0.5,0,6,95492.54940032959,93275.94514602727,73365.95470237732
42,0.7,0,8,95492.54940032959,93275.94514602727,69027.67323303223
45,0.3,0,5,139428.26608276367,136134.52423947694,133028.30699920654
45,0.5,0,6,139428.26608276367,136134.52423947694,115717.12356948853
45,0.7,0,8,139428.26608276367,136134.52423947694,103112.04466247559
47,0.3,0,7,11754.981998443604,12088.05249616467,12245.710878372192
47,0.5,0,8,11754.981998443604,12088.05249616467,9321.25417137146
47,0.7,1,8,11754.981998443604,12088.05249616467,10847.333442687988
49,0.3,1,7,11914.580257415771,12296.609154702614,10492.18514251709
49,0.5,0,8,11914.580257415771,12296.609154702614,7366.534757614136
49,0.7,1,8,11914.580257415771,12296.609154702614,11555.807201385498
