ckpt,alpha,w_i,w_j,d_sg,d_grid_avg,d_sum_alpha
50,0.3,1,7,6416.529083251953,6905.144125080955,6419.864392280579
50,0.5,0,8,6416.529083251953,6905.144125080955,8738.507109642029
50,0.7,1,8,6416.529083251953,6905.144125080955,6299.342792510986
60,0.3,1,7,8433.452209472656,9231.07083013748,7204.540681362152
60,0.5,0,8,8433.452209472656,9231.07083013748,6361.839446544647
60,0.7,1,8,8433.452209472656,9231.07083013748,8777.085176467896
70,0.3,1,7,7465.220916748047,8588.07660640905,5251.499119758606
70,0.5,0,8,7465.220916748047,8588.07660640905,6144.609987258911
70,0.7,1,8,7465.220916748047,8588.07660640905,7331.1222858428955
80,0.3,0,4,4.20038628578186,344.9399431456386,2.8840789794921875
80,0.5,0,6,4.20038628578186,344.9399431456386,4.626772403717041
80,0.7,0,7,4.20038628578186,344.9399431456386,5.806075811386108
90,0.3,0,3,-3.2772321701049805,57.928594630441545,-6.699179112911224
90,0.5,0,7,-3.2772321701049805,57.928594630441545,-4.739265084266663
90,0.7,0,8,-3.2772321701049805,57.928594630441545,-0.36719655990600586
100,0.3,0,3,0.1699371337890625,-22.820879621316255,6.91071093082428
100,0.5,0,3,0.1699371337890625,-22.820879621316255,6.91071093082428
100,0.7,0,8,0.1699371337890625,-22.820879621316255,-0.003092527389526367
