ckpt,alpha,w_i,w_j,d_sg,d_grid_avg,d_sum_alpha
1,0.3,0,0,16.866924285888672,6.006045621118428,-4.469654321670532
1,0.5,1,2,16.866924285888672,6.006045621118428,-3.2448811531066895
1,0.7,2,4,16.866924285888672,6.006045621118428,-0.281618595123291
5,0.3,0,3,86569.95106124878,86246.05128798955,70903.04917001724
5,0.5,0,5,86569.95106124878,86246.05128798955,56637.15906238556
5,0.7,0,7,86569.95106124878,86246.05128798955,73681.52191543579
10,0.3,0,5,7599.436122894287,8622.64420949585,10551.538621902466
10,0.5,0,6,7599.436122894287,8622.64420949585,9298.746105194092
10,0.7,0,7,7599.436122894287,8622.64420949585,7736.63516998291
20,0.3,0,5,13521.054382324219,15476.175497647973,34770.830181121826
20,0.5,0,6,13521.054382324219,15476.175497647973,30766.32947921753
20,0.7,0,7,13521.054382324219,15476.175497647973,23519.04069519043
30,0.3,0,5,123361.05578613281,126338.74138981932,105678.6716041565
30,0.5,0,6,123361.05578613281,126338.74138981932,95957.76498031616
30,0.7,0,7,123361.05578613281,126338.74138981932,94431.76421737671
40,0.3,0,5,32984.78485107422,37356.25775731341,35896.74269104004
40,0.5,0,6,32984.78485107422,37356.25775731341,28580.43505859375
40,0.7,0,7,32984.78485107422,37356.25775731341,26333.522048950195
45,0.3,1,7,-16477.70905303955,-11252.35060340019,-9106.51798248291
45,0.5,0,6,-16477.70905303955,-11252.35060340019,-10017.364936828613
45,0.7,0,7,-16477.70905303955,-11252.35060340019,-14260.983131408691
50,0.3,1,7,-40843.66030883789,-36220.691902405684,-24559.881271362305
50,0.5,0,6,-40843.66030883789,-36220.691902405684,-33756.61386871338
50,0.7,0,7,-40843.66030883789,-36220.691902405684,-36235.27878570557
60,0.3,1,7,201329.44506835938,205484.4727525608,231857.22659301758
60,0.5,1,8,201329.44506835938,205484.4727525608,236850.0669708252
60,0.7,0,7,201329.44506835938,205484.4727525608,118215.18266296387
70,0.3,0,5,54366.07376098633,55061.27449122642,57979.79780578613
70,0.5,1,8,54366.07376098633,55061.27449122642,54249.13893580437
70,0.7,0,7,54366.07376098633,55061.27449122642,42230.16586303711
80,0.3,1,7,89261.23971557617,90251.32251508589,79851.1813659668
80,0.5,0,6,89261.23971557617,90251.32251508589,85241.95031738281
80,0.7,0,7,89261.23971557617,90251.32251508589,85120.4419555664
90,0.3,1,7,156709.99996185303,157734.7037358031,133961.08771514893
90,0.5,0,6,156709.99996185303,157734.7037358031,140826.21238708496
90,0.7,0,7,156709.99996185303,157734.7037358031,121804.3373298645
100,0.3,0,6,143686.2843017578,140031.032745001,128581.97535705566
100,0.5,0,7,143686.2843017578,140031.032745001,119860.63986206055
100,0.7,0,8,143686.2843017578,140031.032745001,124984.44007873535
