ckpt,alpha,w_i,w_j,d_sg,d_grid_avg,d_sum_alpha
20,0.3,3,4,0.0,-39205.663368604895,12.417902946472168
20,0.5,2,3,0.0,-39205.663368604895,-171.0382261276245
20,0.7,2,3,0.0,-39205.663368604895,-171.0382261276245
21,0.3,3,5,0.0,-44176.29517517405,41.02351760864258
21,0.5,2,3,0.0,-44176.29517517405,-268.796178817749
21,0.7,2,3,0.0,-44176.29517517405,-268.796178817749
22,0.3,2,4,0.0,-24490.305728584775,-634.8824687004089
22,0.5,2,3,0.0,-24490.305728584775,-207.78673362731934
22,0.7,2,3,0.0,-24490.305728584775,-207.78673362731934
23,0.3,2,4,0.0,-28506.032778142406,-1022.9756326675415
23,0.5,2,3,0.0,-28506.032778142406,-274.37193393707275
23,0.7,2,3,0.0,-28506.032778142406,-274.37193393707275
