ckpt,alpha,d_sg,d_sum
1,0.3,-0.2077641487121582,-0.21027326583862305
1,0.5,-0.2077641487121582,-0.21027326583862305
1,0.7,-0.2077641487121582,-0.21499896049499512
2,0.3,2720.430145263672,2634.9112681150436
2,0.5,2720.430145263672,2108.54598236084
2,0.7,2720.430145263672,2096.1760864257812
3,0.3,32.95333385467529,83.63785028457642
3,0.5,32.95333385467529,42.81769260764122
3,0.7,32.95333385467529,68.2714958190918
4,0.3,219.75872039794922,277.05250334739685
4,0.5,219.75872039794922,230.7307538986206
4,0.7,219.75872039794922,186.1689338684082
5,0.3,123.14289093017578,321.28768134117126
5,0.5,123.14289093017578,199.21255588531494
5,0.7,123.14289093017578,153.8045482635498
6,0.3,64.41011428833008,54.975982308387756
6,0.5,64.41011428833008,56.73591756820679
6,0.7,64.41011428833008,59.59969711303711
7,0.3,13.185030698776245,22.83190131187439
7,0.5,13.185030698776245,22.97138476371765
7,0.7,13.185030698776245,13.597553253173828
8,0.3,5.582017421722412,7.940643787384033
8,0.5,5.582017421722412,7.058302164077759
8,0.7,5.582017421722412,10.822639226913452
9,0.3,10.423263788223267,9.098572134971619
9,0.5,10.423263788223267,9.667756795883179
9,0.7,10.423263788223267,10.838615775108337
10,0.3,-9.710375785827637,-9.681902885437012
10,0.5,-9.710375785827637,-10.007083415985107
10,0.7,-9.710375785827637,-17.16843605041504
20,0.3,14.232423543930054,12.861703872680664
20,0.5,14.232423543930054,12.922203004360199
20,0.7,14.232423543930054,6.434435606002808
30,0.3,22.71861219406128,19.475770741701126
30,0.5,22.71861219406128,20.62538230419159
30,0.7,22.71861219406128,25.99769878387451
